county,district,n_sales,median_price,avg_price,iqr_price,new_build_rate,freehold_rate,share_flat,share_semi,share_detached,share_terraced,share_other,district_segment
DORSET,PURBECK,19651,175500.0,204350.81522568825,145500.0,0.07801129713500585,0.7868301867589436,0.20635082184112769,0.19429036690244772,0.38237239835122894,0.2104218614828762,0.006564551422319475,0
WORCESTERSHIRE,BROMSGROVE,38021,160000.0,194180.80358223087,135100.0,0.11709318534494095,0.8592619867967702,0.08166539543936245,0.3189553141684858,0.3873122747955077,0.20691196970095474,0.005155045895689225,1
WARWICKSHIRE,WARWICK,64365,164000.0,198800.0821409151,138500.0,0.1268546570341024,0.7701390507263264,0.2114969315621844,0.29138506952536314,0.2415443175638934,0.2517361920298299,0.003837489318729123,0
PORTSMOUTH,PORTSMOUTH,90377,120000.0,135814.65629529636,96000.0,0.058809210307932326,0.717040840036735,0.27450568175531387,0.10524801664140213,0.034090531883111855,0.5827146287219094,0.0034411409982628323,0
OXFORDSHIRE,WEST OXFORDSHIRE,44953,190000.0,230769.2237670456,148500.0,0.12610949213623118,0.8700642893688963,0.11747825506640269,0.3037394612150468,0.3143060529886771,0.2596934576112829,0.004782773118590528,0
OXFORDSHIRE,SOUTH OXFORDSHIRE,62003,202000.0,266445.4402045062,196500.0,0.08815702466009709,0.8704740093221296,0.11615566988694095,0.32087157073044853,0.3135816008902795,0.2458268148315404,0.003564343660790607,0
HERTFORDSHIRE,ST ALBANS,64853,248500.0,317508.3391516198,242500.0,0.08005797727167595,0.749895918461752,0.24393628667910505,0.2546219912725703,0.2232279154395325,0.2749448753334464,0.003268931275345782,0
NORTHUMBERLAND,BLYTH VALLEY,22792,66000.0,79601.28360828361,61550.0,0.10876623376623376,0.5892418392418393,0.13943488943488944,0.34213759213759215,0.19493681993681994,0.3234906984906985,0.0,1
NORTH SOMERSET,NORTH SOMERSET,98424,149950.0,174003.95751036334,127450.0,0.1263208160611233,0.7959135983093555,0.19650694952450623,0.2727281963748679,0.3001198894578558,0.2273327643664147,0.0033122002763553604,0
LEICESTERSHIRE,HARBOROUGH,40251,150000.0,188406.0122232988,138050.0,0.16831879953293086,0.9442995205088073,0.0476261459342625,0.2770862835705945,0.4755161362450622,0.19587091003950213,0.003900524210578619,1
WORCESTERSHIRE,WYCHAVON,48891,156000.0,189620.39348755396,140005.0,0.1342782925282772,0.8858685647665214,0.0900574747908613,0.2754085619030087,0.4338017221983596,0.1953938352662044,0.0053384058415659325,1
SOUTH YORKSHIRE,ROTHERHAM,83381,84950.0,102476.22496731869,80000.0,0.12814670008754991,0.8408510332090045,0.03747856226238592,0.44680442786725993,0.26252983293556087,0.24952926925798444,0.003657907676808865,1
STAFFORDSHIRE,TAMWORTH,28731,107000.0,119088.67258362049,82950.0,0.12133235877623473,0.7716055828199506,0.08715324910375552,0.38710800180989174,0.28178622393929903,0.2398454630886499,0.004107062058403815,1
KENT,SHEPWAY,49894,135000.0,159111.54703972422,121995.0,0.08095161742894938,0.7893734717601315,0.20567603319036357,0.24638233054074637,0.26221589770313064,0.2815368581392552,0.004188880426504189,0
CAMBRIDGESHIRE,EAST CAMBRIDGESHIRE,37597,150000.0,172822.8405723861,125995.0,0.17722158682873634,0.9382663510386468,0.049392238742452854,0.27313349469372555,0.41620342048567704,0.2582120913902705,0.0030587546878740324,1
EAST SUSSEX,LEWES,46243,171000.0,203769.9369634323,154000.0,0.05053737863027918,0.8073654390934845,0.19060182081612353,0.2554765045520403,0.3184481975650369,0.22950500616309497,0.005968470903704344,0
WREXHAM,WREXHAM,39116,107500.0,123111.48724307188,87550.0,0.12667450659576643,0.9260660599243277,0.04571019531649453,0.3616678596993558,0.3532825442274261,0.2342008385315472,0.0051385622251763985,1
HAMPSHIRE,NEW FOREST,83892,180000.0,226216.87146569398,163000.0,0.06137653173127354,0.8281480951699804,0.15903781051828542,0.2144542983836361,0.422281027988366,0.19931578696419205,0.004911076145520431,0
TYNE AND WEAR,SUNDERLAND,88816,79950.0,98178.48407944514,76495.0,0.09778643487659881,0.7865362096919474,0.10152450009007385,0.3411885245901639,0.1439155107187894,0.4088565123401189,0.0045149522608539,1
NOTTINGHAMSHIRE,MANSFIELD,40948,82000.0,96096.6075021979,75500.0,0.1276008596268438,0.9556510696493113,0.03948910813714956,0.3944026570284263,0.3133486372960828,0.24958483930839112,0.0031747582299501806,1
GLOUCESTERSHIRE,STROUD,48915,150000.0,186113.61610957785,140050.0,0.09706633956863947,0.8979045282633139,0.09577839108657876,0.29201676377389346,0.34322804865583156,0.2641725442093427,0.004804252274353471,1
DURHAM,EASINGTON,23627,57000.0,71453.04308629957,58500.0,0.1370889236889999,0.9693147670038516,0.016125618995217337,0.28907605705337114,0.190840987006391,0.5039573369450205,0.0,1
ESSEX,HARLOW,33165,135500.0,154839.81640283432,106500.0,0.13330318106437508,0.7574853007688829,0.23051409618573798,0.14822855419870345,0.12262927785315846,0.4958239107492839,0.002804161013116237,0
KENT,SEVENOAKS,43156,220000.0,300051.97212438594,214000.0,0.07319955510241913,0.8554082862174437,0.13288998053573084,0.2745852256928353,0.3026230419872092,0.2843868755213644,0.0055148762628603205,0
DEVON,EAST DEVON,68981,168000.0,198932.2721474029,150950.0,0.10192661747437701,0.8327365506443803,0.1587393630130036,0.21160899378089618,0.369696003247271,0.255621113060118,0.004334526898711239,0
HAMPSHIRE,RUSHMOOR,42145,158500.0,178509.1023608969,118500.0,0.10758097045912919,0.7289832720370151,0.2637086249851702,0.28110096096808634,0.15197532328864635,0.299798315339898,0.0034167754181990747,0
CHESHIRE,ELLESMERE PORT AND NESTON,19526,90000.0,111273.56657789614,82000.0,0.10283724265082454,0.9201065246338216,0.04860186418109188,0.4226672129468401,0.31788384717812146,0.21084707569394653,0.0,1
SURREY,MOLE VALLEY,35055,250000.0,325144.07117386966,254000.0,0.06974753958065896,0.7864213378975895,0.20445014976465553,0.27319925830837255,0.34796747967479674,0.16773641420624733,0.006646698045927828,0
SHROPSHIRE,SHREWSBURY AND ATCHAM,28142,97000.0,119919.48528889204,92050.0,0.09579987207732216,0.8915499964465923,0.09821618932556321,0.34311704925023095,0.29209011441972854,0.2665766470044773,0.0,1
SHROPSHIRE,THE WREKIN,9000,47250.0,54529.72833333333,32762.5,0.23966666666666667,0.9165555555555556,0.056666666666666664,0.31077777777777776,0.37366666666666665,0.2588888888888889,0.0,1
HEREFORD AND WORCESTER,LEOMINSTER,1913,62500.0,73479.12441191846,43000.0,0.18714061683220073,0.9649764767381077,0.0334553058024046,0.24464192368008364,0.5190799790904339,0.20282279142707788,0.0,1
MID GLAMORGAN,OGWR,1734,44000.0,48667.45271049596,23983.75,0.20011534025374855,0.8765859284890427,0.034025374855824686,0.3788927335640138,0.209919261822376,0.3771626297577855,0.0,1
