month,forecast_median_price,lower,upper
2016-07-01,223716.39441207054,217496.46080451758,229936.3280196235
2016-08-01,227988.64129584556,220446.79395987748,235530.48863181364
2016-09-01,227769.424266803,218803.46256846105,236735.38596514493
2016-10-01,223882.04233264088,213770.6994873273,233993.38517795445
2016-11-01,223370.59183481862,212209.11316389998,234532.07050573727
2016-12-01,223544.19775843914,211429.26588885565,235659.12962802264
2017-01-01,223830.08646306748,210829.77178023898,236830.40114589597
2017-02-01,221237.52490384819,207408.86769178696,235066.1821159094
2017-03-01,219519.7200067221,204909.47609905535,234129.96391438888
2017-04-01,224158.21154835774,208806.15848544822,239510.26461126725
2017-05-01,224452.26569609862,208392.62106034078,240511.91033185646
2017-06-01,232320.12986085334,215582.784341708,249057.47537999868
