county,n_sales,avg_price,median_price,p10,p25,p75,p90,iqr,p90_p10_spread
GREATER LONDON,2993422,313809.6181483934,215000.0,74000.0,128000.0,339958.0,555000.0,211958.0,481000.0
GREATER MANCHESTER,985772,119085.17900488146,92500.0,33000.0,54950.0,145500.0,215000.0,90550.0,182000.0
WEST MIDLANDS,856803,126637.33972570124,104000.0,40500.0,63000.0,150500.0,222500.0,87500.0,182000.0
WEST YORKSHIRE,849862,117757.59079944744,94000.0,35000.0,55000.0,146000.0,215050.0,91000.0,180050.0
KENT,636515,187373.5086101663,153000.0,54500.0,89250.0,230000.0,337000.0,140750.0,282500.0
ESSEX,629488,191821.308101187,155000.0,57000.0,91000.0,235000.0,345156.00000000093,144000.0,288156.00000000093
HAMPSHIRE,593974,210451.51425651627,170000.0,65762.00000000012,105996.25,250000.0,375000.0,144003.75,309237.9999999999
SURREY,516199,305270.29133531835,230000.0,87000.0,143000.0,357000.0,569500.0,214000.0,482500.0
LANCASHIRE,503502,112231.13993986121,87500.0,30000.0,50000.0,144950.0,215000.0,94950.0,185000.0
HERTFORDSHIRE,488383,245116.67675574293,189995.0,72000.0,119950.0,290000.5,453000.0,170050.5,381000.0
MERSEYSIDE,458459,110664.18094093473,87000.0,32500.0,51500.0,140000.0,199950.0,88500.0,167450.0
SOUTH YORKSHIRE,453594,109361.5870778714,86500.0,32950.0,51500.0,134000.0,193000.0,82500.0,160050.0
WEST SUSSEX,394576,209390.08161925714,172000.0,62200.0,102000.0,250000.0,378325.5,148000.0,316125.5
TYNE AND WEAR,389735,112728.58413793988,89000.0,33000.0,54000.0,141000.0,202000.0,87000.0,169000.0
NORFOLK,385093,145726.23156224602,125000.0,45000.0,71500.0,181000.0,250000.0,109500.0,205000.0
DEVON,365307,175403.9522182712,147500.0,49950.0,80000.0,225000.0,325000.0,145000.0,275050.0
NORTHAMPTONSHIRE,337420,144120.25918736294,120000.0,44950.0,73950.0,175500.0,250000.0,101550.0,205050.0
NOTTINGHAMSHIRE,330469,123076.8996184211,100000.0,37750.0,59950.0,155000.0,230000.0,95050.0,192250.0
LINCOLNSHIRE,328872,123609.7986967574,108000.0,40000.0,62000.0,155500.0,220000.0,93500.0,180000.0
SUFFOLK,322884,158636.4476065708,130000.0,48000.0,77500.0,194500.0,285000.0,117000.0,237000.0
DERBYSHIRE,309952,124475.64263821495,100000.0,37500.0,59950.0,155000.0,230000.0,95050.0,192500.0
STAFFORDSHIRE,309176,136065.8471420809,114000.0,44500.0,68000.0,168000.0,245000.0,100000.0,200500.0
