month,county,sales_volume,median_price,vol_prev_year,med_prev_year,yoy_sales_volume,yoy_median_price
1995-01-01,AVON,833,51500.0,,,,
1995-01-01,BATH AND NORTH EAST SOMERSET,3,75000.0,,,,
1995-01-01,BEDFORD,3,53500.0,,,,
1995-01-01,BEDFORDSHIRE,379,55000.0,,,,
1995-01-01,BERKSHIRE,155,74500.0,,,,
1995-01-01,BLACKBURN WITH DARWEN,4,37500.0,,,,
1995-01-01,BLACKPOOL,162,39500.0,,,,
1995-01-01,BLAENAU GWENT,40,30000.0,,,,
1995-01-01,BOURNEMOUTH,197,49000.0,,,,
1995-01-01,BRACKNELL FOREST,123,72000.0,,,,
1995-01-01,BRIDGEND,1,44950.0,,,,
1995-01-01,BRIGHTON AND HOVE,9,58000.0,,,,
1995-01-01,BUCKINGHAMSHIRE,595,82950.0,,,,
1995-01-01,CAERPHILLY,3,33500.0,,,,
1995-01-01,CAMBRIDGESHIRE,735,56000.0,,,,
1995-01-01,CARDIFF,227,46500.0,,,,
1995-01-01,CARMARTHENSHIRE,5,43500.0,,,,
1995-01-01,CENTRAL BEDFORDSHIRE,1,39500.0,,,,
1995-01-01,CEREDIGION,40,59475.0,,,,
1995-01-01,CHESHIRE,546,57125.0,,,,
1995-01-01,CHESHIRE EAST,1,5000.0,,,,
1995-01-01,CITY OF BRISTOL,9,50000.0,,,,
1995-01-01,CITY OF DERBY,6,26000.0,,,,
1995-01-01,CITY OF KINGSTON UPON HULL,4,42250.0,,,,
1995-01-01,CITY OF NOTTINGHAM,4,79500.0,,,,
1995-01-01,CITY OF PETERBOROUGH,2,73500.0,,,,
1995-01-01,CITY OF PLYMOUTH,3,35000.0,,,,
1995-01-01,CLEVELAND,79,39500.0,,,,
1995-01-01,CLWYD,288,43975.0,,,,
1995-01-01,CORNWALL,505,48000.0,,,,
1995-01-01,COUNTY DURHAM,4,4000.0,,,,
1995-01-01,CUMBRIA,417,47500.0,,,,
1995-01-01,DARLINGTON,116,40000.0,,,,
1995-01-01,DERBYSHIRE,902,44000.0,,,,
1995-01-01,DEVON,1020,54000.0,,,,
1995-01-01,DORSET,495,64500.0,,,,
1995-01-01,DURHAM,420,37000.0,,,,
1995-01-01,DYFED,168,43975.0,,,,
1995-01-01,EAST RIDING OF YORKSHIRE,8,39225.0,,,,
1995-01-01,EAST SUSSEX,942,55000.0,,,,
1995-01-01,ESSEX,1488,59995.0,,,,
1995-01-01,FLINTSHIRE,1,35000.0,,,,
1995-01-01,GLOUCESTERSHIRE,537,55500.0,,,,
1995-01-01,GREATER LONDON,7661,72500.0,,,,
1995-01-01,GREATER MANCHESTER,2191,42950.0,,,,
1995-01-01,GWENT,116,46875.0,,,,
1995-01-01,GWYNEDD,175,40000.0,,,,
1995-01-01,HALTON,70,47750.0,,,,
1995-01-01,HAMPSHIRE,1361,63000.0,,,,
1995-01-01,HARTLEPOOL,88,32250.0,,,,
1995-01-01,HEREFORD AND WORCESTER,123,56000.0,,,,
1995-01-01,HEREFORDSHIRE,1,88000.0,,,,
1995-01-01,HERTFORDSHIRE,1103,72950.0,,,,
1995-01-01,HUMBERSIDE,851,41250.0,,,,
1995-01-01,ISLE OF ANGLESEY,1,14500.0,,,,
1995-01-01,ISLE OF WIGHT,178,46500.0,,,,
1995-01-01,ISLES OF SCILLY,1,60000.0,,,,
1995-01-01,KENT,1498,56000.0,,,,
1995-01-01,LANCASHIRE,1362,42085.0,,,,
1995-01-01,LEICESTER,207,39500.0,,,,
1995-01-01,LEICESTERSHIRE,547,49500.0,,,,
1995-01-01,LINCOLNSHIRE,658,44000.0,,,,
1995-01-01,LUTON,166,45150.0,,,,
1995-01-01,MEDWAY,2,43500.0,,,,
1995-01-01,MERSEYSIDE,1047,43000.0,,,,
1995-01-01,MERTHYR TYDFIL,36,27250.0,,,,
1995-01-01,MID GLAMORGAN,328,37975.0,,,,
1995-01-01,MIDDLESBROUGH,115,37950.0,,,,
1995-01-01,MILTON KEYNES,248,49062.5,,,,
1995-01-01,MONMOUTHSHIRE,1,600.0,,,,
1995-01-01,NEATH PORT TALBOT,1,49000.0,,,,
1995-01-01,NEWPORT,107,48000.0,,,,
1995-01-01,NORFOLK,829,47000.0,,,,
1995-01-01,NORTH LINCOLNSHIRE,2,23000.0,,,,
1995-01-01,NORTH SOMERSET,4,95000.0,,,,
1995-01-01,NORTH YORKSHIRE,650,58500.0,,,,
1995-01-01,NORTHAMPTONSHIRE,723,42300.0,,,,
1995-01-01,NORTHUMBERLAND,245,50000.0,,,,
1995-01-01,NOTTINGHAMSHIRE,951,43000.0,,,,
1995-01-01,OXFORDSHIRE,570,72225.0,,,,
1995-01-01,PEMBROKESHIRE,3,29950.0,,,,
1995-01-01,POOLE,182,58250.0,,,,
1995-01-01,PORTSMOUTH,214,45625.0,,,,
1995-01-01,POWYS,79,44000.0,,,,
1995-01-01,READING,140,55000.0,,,,
1995-01-01,REDCAR AND CLEVELAND,1,4350.0,,,,
1995-01-01,RHONDDA CYNON TAFF,2,34000.0,,,,
1995-01-01,RUTLAND,37,68000.0,,,,
1995-01-01,SHROPSHIRE,369,49950.0,,,,
1995-01-01,SLOUGH,87,55000.0,,,,
1995-01-01,SOMERSET,506,51950.0,,,,
1995-01-01,SOUTH GLAMORGAN,89,49500.0,,,,
1995-01-01,SOUTH GLOUCESTERSHIRE,1,105000.0,,,,
1995-01-01,SOUTH YORKSHIRE,953,38000.0,,,,
1995-01-01,SOUTHAMPTON,221,46000.0,,,,
1995-01-01,SOUTHEND-ON-SEA,250,45000.0,,,,
1995-01-01,STAFFORDSHIRE,704,46950.0,,,,
1995-01-01,STOCKTON-ON-TEES,134,45500.0,,,,
1995-01-01,STOKE-ON-TRENT,220,32000.0,,,,
1995-01-01,SUFFOLK,787,50000.0,,,,
1995-01-01,SURREY,1256,83600.0,,,,
1995-01-01,SWANSEA,143,46000.0,,,,
1995-01-01,SWINDON,3,45000.0,,,,
1995-01-01,THAMESDOWN,209,52995.0,,,,
1995-01-01,THE VALE OF GLAMORGAN,3,2500.0,,,,
1995-01-01,THURROCK,134,52000.0,,,,
1995-01-01,TORBAY,182,52000.0,,,,
1995-01-01,TORFAEN,63,36000.0,,,,
1995-01-01,TYNE AND WEAR,815,40500.0,,,,
1995-01-01,WARRINGTON,147,54500.0,,,,
1995-01-01,WARWICKSHIRE,481,54995.0,,,,
1995-01-01,WEST BERKSHIRE,3,174000.0,,,,
1995-01-01,WEST GLAMORGAN,112,38925.0,,,,
1995-01-01,WEST MIDLANDS,1870,46450.0,,,,
1995-01-01,WEST SUSSEX,1050,64000.0,,,,
1995-01-01,WEST YORKSHIRE,1975,45000.0,,,,
1995-01-01,WILTSHIRE,455,62000.0,,,,
1995-01-01,WINDSOR AND MAIDENHEAD,140,91750.0,,,,
1995-01-01,WOKINGHAM,156,89000.0,,,,
1995-01-01,WORCESTERSHIRE,497,56000.0,,,,
1995-01-01,WREKIN,2,184975.0,,,,
1995-01-01,WREXHAM,1,60000.0,,,,
1995-01-01,YORK,97,52000.0,,,,
1995-02-01,AVON,848,54000.0,,,,
1995-02-01,BATH AND NORTH EAST SOMERSET,5,85000.0,,,,
1995-02-01,BEDFORDSHIRE,476,56000.0,,,,
1995-02-01,BERKSHIRE,167,66500.0,,,,
1995-02-01,BLACKBURN WITH DARWEN,4,33500.0,,,,
1995-02-01,BLACKPOOL,174,39725.0,,,,
1995-02-01,BLAENAU GWENT,39,25000.0,,,,
1995-02-01,BOURNEMOUTH,229,50000.0,,,,
1995-02-01,BRACKNELL FOREST,125,84000.0,,,,
1995-02-01,BRIGHTON AND HOVE,11,22000.0,,,,
1995-02-01,BUCKINGHAMSHIRE,476,80000.0,,,,
1995-02-01,CAERPHILLY,3,300.0,,,,
1995-02-01,CAMBRIDGESHIRE,740,57500.0,,,,
1995-02-01,CARDIFF,287,50000.0,,,,
1995-02-01,CARMARTHENSHIRE,4,18250.0,,,,
1995-02-01,CENTRAL BEDFORDSHIRE,1,168000.0,,,,
1995-02-01,CEREDIGION,27,47500.0,,,,
1995-02-01,CHESHIRE,624,58000.0,,,,
1995-02-01,CHESHIRE EAST,2,48000.0,,,,
1995-02-01,CHESHIRE WEST AND CHESTER,5,35000.0,,,,
1995-02-01,CITY OF BRISTOL,6,40000.0,,,,
1995-02-01,CITY OF DERBY,2,15750.0,,,,
1995-02-01,CITY OF KINGSTON UPON HULL,4,31000.0,,,,
1995-02-01,CITY OF NOTTINGHAM,5,75000.0,,,,
1995-02-01,CITY OF PLYMOUTH,3,58000.0,,,,
1995-02-01,CLEVELAND,107,43000.0,,,,
1995-02-01,CLWYD,330,44950.0,,,,
1995-02-01,CONWY,4,35250.0,,,,
1995-02-01,CORNWALL,535,48000.0,,,,
1995-02-01,COUNTY DURHAM,10,4250.0,,,,
1995-02-01,CUMBRIA,396,45000.0,,,,
1995-02-01,DARLINGTON,96,45000.0,,,,
1995-02-01,DERBYSHIRE,957,42750.0,,,,
1995-02-01,DEVON,980,52250.0,,,,
1995-02-01,DORSET,427,63000.0,,,,
1995-02-01,DURHAM,367,36500.0,,,,
1995-02-01,DYFED,162,40747.5,,,,
1995-02-01,EAST RIDING OF YORKSHIRE,7,60000.0,,,,
1995-02-01,EAST SUSSEX,901,53250.0,,,,
1995-02-01,ESSEX,1541,59950.0,,,,
1995-02-01,FLINTSHIRE,1,30000.0,,,,
1995-02-01,GLOUCESTERSHIRE,567,54200.0,,,,
1995-02-01,GREATER LONDON,7010,71000.0,,,,
1995-02-01,GREATER MANCHESTER,2234,43000.0,,,,
1995-02-01,GWENT,118,47375.0,,,,
1995-02-01,GWYNEDD,173,42500.0,,,,
1995-02-01,HALTON,74,41000.0,,,,
1995-02-01,HAMPSHIRE,1370,65000.0,,,,
1995-02-01,HARTLEPOOL,91,35000.0,,,,
1995-02-01,HEREFORD AND WORCESTER,155,54995.0,,,,
1995-02-01,HEREFORDSHIRE,7,42500.0,,,,
1995-02-01,HERTFORDSHIRE,1086,73000.0,,,,
1995-02-01,HUMBERSIDE,882,40500.0,,,,
1995-02-01,ISLE OF ANGLESEY,1,35500.0,,,,
1995-02-01,ISLE OF WIGHT,182,47000.0,,,,
1995-02-01,ISLES OF SCILLY,2,86250.0,,,,
1995-02-01,KENT,1565,53995.0,,,,
1995-02-01,LANCASHIRE,1319,44000.0,,,,
1995-02-01,LEICESTER,243,39000.0,,,,
1995-02-01,LEICESTERSHIRE,615,50000.0,,,,
1995-02-01,LINCOLNSHIRE,731,44950.0,,,,
1995-02-01,LUTON,184,47500.0,,,,
1995-02-01,MEDWAY,2,66500.0,,,,
1995-02-01,MERSEYSIDE,1267,41495.0,,,,
1995-02-01,MERTHYR TYDFIL,50,30375.0,,,,
1995-02-01,MID GLAMORGAN,358,37500.0,,,,
1995-02-01,MIDDLESBROUGH,100,37975.0,,,,
1995-02-01,MILTON KEYNES,259,49000.0,,,,
1995-02-01,MONMOUTHSHIRE,2,88750.0,,,,
1995-02-01,NEATH PORT TALBOT,5,45995.0,,,,
1995-02-01,NEWPORT,115,44500.0,,,,
1995-02-01,NORFOLK,845,47000.0,,,,
