county,sales_volume,total_revenue,avg_price,median_price
GREATER LONDON,2993422,939364614777.0,313809.6181483934,215000.0
GREATER MANCHESTER,985772,117390835078.0,119085.17900488146,92500.0
WEST MIDLANDS,856803,108503252589.0,126637.33972570124,104000.0
WEST YORKSHIRE,849862,100077701632.0,117757.59079944744,94000.0
KENT,636515,119266048833.0,187373.5086101663,153000.0
ESSEX,629488,120749211594.0,191821.308101187,155000.0
HAMPSHIRE,593974,125002727729.0,210451.51425651627,170000.0
SURREY,516199,157580219117.0,305270.29133531835,230000.0
LANCASHIRE,503502,56508603422.0,112231.13993986121,87500.0
HERTFORDSHIRE,488383,119710817944.0,245116.67675574293,189995.0
MERSEYSIDE,458459,50734989730.0,110664.18094093473,87000.0
SOUTH YORKSHIRE,453594,49605759729.0,109361.5870778714,86500.0
WEST SUSSEX,394576,82620300845.0,209390.08161925714,172000.0
TYNE AND WEAR,389735,43934274739.0,112728.58413793988,89000.0
NORFOLK,385093,56118151691.0,145726.23156224602,125000.0
DEVON,365307,64076291573.0,175403.9522182712,147500.0
NORTHAMPTONSHIRE,337420,48629057855.0,144120.25918736294,120000.0
NOTTINGHAMSHIRE,330469,40673099940.0,123076.8996184211,100000.0
LINCOLNSHIRE,328872,40651801717.0,123609.7986967574,108000.0
SUFFOLK,322884,51221170749.0,158636.4476065708,130000.0
DERBYSHIRE,309952,38581474387.0,124475.64263821495,100000.0
STAFFORDSHIRE,309176,42068294356.0,136065.8471420809,114000.0
EAST SUSSEX,285342,50659847015.0,177540.80021518038,144995.0
LEICESTERSHIRE,278408,41675138418.0,149690.8796370794,125000.0
CAMBRIDGESHIRE,278254,50597845505.0,181840.49647085037,145995.0
OXFORDSHIRE,270066,64022656629.0,237063.00174401814,187500.0
GLOUCESTERSHIRE,268891,48779454369.0,181409.76964271767,145000.0
NORTH YORKSHIRE,255070,42332714727.0,165965.08694476026,135000.0
SOMERSET,241207,39221101796.0,162603.49739435423,137950.0
CORNWALL,239192,39724083149.0,166076.1361124118,140000.0
WORCESTERSHIRE,233433,38361647630.0,164336.8659529715,136000.0
WARWICKSHIRE,232739,40456197499.0,173826.46440433274,138000.0
BUCKINGHAMSHIRE,221272,61304781671.0,277056.2098729166,205000.0
CUMBRIA,204611,25576420728.0,125000.22348749578,94258.0
WILTSHIRE,203997,38609835185.0,189266.6812992348,155000.0
DORSET,202503,40470641457.0,199852.0587694997,171000.0
CHESHIRE,201193,27383797559.0,136107.10889046834,106000.0
CITY OF BRISTOL,174853,30491820673.0,174385.45905989603,144000.0
EAST RIDING OF YORKSHIRE,145974,19072443656.0,130656.44331182266,111995.0
DURHAM,134700,11219571361.0,83293.03163325909,67000.0
CARDIFF,134115,19936094017.0,148649.2489057898,125000.0
BRIGHTON AND HOVE,129872,27985061555.0,215481.87103455712,178000.0
BEDFORDSHIRE,129687,17896081000.0,137994.40961700093,119500.0
SHROPSHIRE,124257,18536172771.0,149176.08481614717,125000.0
NORTHUMBERLAND,122040,15887260177.0,130180.76185676827,96000.0
MILTON KEYNES,121296,19986622321.0,164775.60942652685,139000.0
SOUTH GLOUCESTERSHIRE,111146,18582505197.0,167190.04909758337,145000.0
BOURNEMOUTH,103944,17548930500.0,168830.62514430846,145100.0
NORTH SOMERSET,98424,17126165514.0,174003.95751036334,149950.0
MEDWAY,97025,14492727575.0,149371.06493171863,132500.0
SOUTHAMPTON,96455,13994669219.0,145090.13756674097,126000.0
LEICESTER,94389,10608553676.0,112391.84307493459,97000.0
CITY OF PLYMOUTH,93668,12394364344.0,132322.29089977368,120000.0
STOKE-ON-TRENT,93611,7425198562.0,79319.72270352843,65000.0
SWINDON,93092,14047315907.0,150897.133018949,131950.0
CITY OF KINGSTON UPON HULL,90482,7165165184.0,79188.84622355827,63950.0
PORTSMOUTH,90377,12274521192.0,135814.65629529636,120000.0
SOUTHEND-ON-SEA,87798,13618793159.0,155115.07276931137,129995.0
CITY OF DERBY,87152,10419965967.0,119560.83586148339,100000.0
CITY OF NOTTINGHAM,86361,10218373953.0,118321.62611595512,90250.0
YORK,83893,13706916487.0,163385.69948625035,141000.0
SWANSEA,83490,9794356993.0,117311.73784884418,92362.0
WARRINGTON,80074,11503440133.0,143660.11605514897,115000.0
LUTON,77774,9770734834.0,125629.83560058632,115000.0
