month,county,sales_volume,total_revenue,median_price
1995-01-01,AVON,833,50968408.0,51500.0
1995-01-01,BATH AND NORTH EAST SOMERSET,3,321000.0,75000.0
1995-01-01,BEDFORD,3,171000.0,53500.0
1995-01-01,BEDFORDSHIRE,379,26612096.0,55000.0
1995-01-01,BERKSHIRE,155,13495382.0,74500.0
1995-01-01,BLACKBURN WITH DARWEN,4,176000.0,37500.0
1995-01-01,BLACKPOOL,162,7124725.0,39500.0
1995-01-01,BLAENAU GWENT,40,1368500.0,30000.0
1995-01-01,BOURNEMOUTH,197,11990235.0,49000.0
1995-01-01,BRACKNELL FOREST,123,11148950.0,72000.0
1995-01-01,BRIDGEND,1,44950.0,44950.0
1995-01-01,BRIGHTON AND HOVE,9,631700.0,58000.0
1995-01-01,BUCKINGHAMSHIRE,595,65062027.0,82950.0
1995-01-01,CAERPHILLY,3,74450.0,33500.0
1995-01-01,CAMBRIDGESHIRE,735,47474785.0,56000.0
1995-01-01,CARDIFF,227,12782929.0,46500.0
1995-01-01,CARMARTHENSHIRE,5,220750.0,43500.0
1995-01-01,CENTRAL BEDFORDSHIRE,1,39500.0,39500.0
1995-01-01,CEREDIGION,40,2990400.0,59475.0
1995-01-01,CHESHIRE,546,39393228.0,57125.0
1995-01-01,CHESHIRE EAST,1,5000.0,5000.0
1995-01-01,CITY OF BRISTOL,9,466980.0,50000.0
1995-01-01,CITY OF DERBY,6,210000.0,26000.0
1995-01-01,CITY OF KINGSTON UPON HULL,4,138100.0,42250.0
1995-01-01,CITY OF NOTTINGHAM,4,303000.0,79500.0
1995-01-01,CITY OF PETERBOROUGH,2,147000.0,73500.0
1995-01-01,CITY OF PLYMOUTH,3,87204.0,35000.0
1995-01-01,CLEVELAND,79,3374335.0,39500.0
1995-01-01,CLWYD,288,14358027.0,43975.0
1995-01-01,CORNWALL,505,27462489.0,48000.0
1995-01-01,COUNTY DURHAM,4,20000.0,4000.0
1995-01-01,CUMBRIA,417,22708301.0,47500.0
1995-01-01,DARLINGTON,116,5648970.0,40000.0
1995-01-01,DERBYSHIRE,902,46954777.0,44000.0
1995-01-01,DEVON,1020,63710092.0,54000.0
1995-01-01,DORSET,495,37224540.0,64500.0
1995-01-01,DURHAM,420,19448743.0,37000.0
1995-01-01,DYFED,168,8385219.0,43975.0
1995-01-01,EAST RIDING OF YORKSHIRE,8,370350.0,39225.0
1995-01-01,EAST SUSSEX,942,61160454.0,55000.0
1995-01-01,ESSEX,1488,110973498.0,59995.0
1995-01-01,FLINTSHIRE,1,35000.0,35000.0
1995-01-01,GLOUCESTERSHIRE,537,37390418.0,55500.0
1995-01-01,GREATER LONDON,7661,769791823.0,72500.0
1995-01-01,GREATER MANCHESTER,2191,109961437.0,42950.0
1995-01-01,GWENT,116,7065580.0,46875.0
1995-01-01,GWYNEDD,175,8041016.0,40000.0
1995-01-01,HALTON,70,3666468.0,47750.0
1995-01-01,HAMPSHIRE,1361,104329050.0,63000.0
1995-01-01,HARTLEPOOL,88,3521195.0,32250.0
1995-01-01,HEREFORD AND WORCESTER,123,7843350.0,56000.0
1995-01-01,HEREFORDSHIRE,1,88000.0,88000.0
1995-01-01,HERTFORDSHIRE,1103,98630539.0,72950.0
1995-01-01,HUMBERSIDE,851,40228906.0,41250.0
1995-01-01,ISLE OF ANGLESEY,1,14500.0,14500.0
1995-01-01,ISLE OF WIGHT,178,9516045.0,46500.0
1995-01-01,ISLES OF SCILLY,1,60000.0,60000.0
1995-01-01,KENT,1498,99782533.0,56000.0
1995-01-01,LANCASHIRE,1362,67751367.0,42085.0
1995-01-01,LEICESTER,207,9107160.0,39500.0
1995-01-01,LEICESTERSHIRE,547,31997196.0,49500.0
1995-01-01,LINCOLNSHIRE,658,31712090.0,44000.0
1995-01-01,LUTON,166,8096775.0,45150.0
1995-01-01,MEDWAY,2,87000.0,43500.0
1995-01-01,MERSEYSIDE,1047,51354170.0,43000.0
1995-01-01,MERTHYR TYDFIL,36,1049800.0,27250.0
1995-01-01,MID GLAMORGAN,328,14098137.0,37975.0
1995-01-01,MIDDLESBROUGH,115,4746420.0,37950.0
1995-01-01,MILTON KEYNES,248,14153784.0,49062.5
1995-01-01,MONMOUTHSHIRE,1,600.0,600.0
1995-01-01,NEATH PORT TALBOT,1,49000.0,49000.0
1995-01-01,NEWPORT,107,6105878.0,48000.0
1995-01-01,NORFOLK,829,47069425.0,47000.0
1995-01-01,NORTH LINCOLNSHIRE,2,46000.0,23000.0
1995-01-01,NORTH SOMERSET,4,757000.0,95000.0
1995-01-01,NORTH YORKSHIRE,650,46282653.0,58500.0
1995-01-01,NORTHAMPTONSHIRE,723,36849982.0,42300.0
1995-01-01,NORTHUMBERLAND,245,14461757.0,50000.0
1995-01-01,NOTTINGHAMSHIRE,951,47758303.0,43000.0
1995-01-01,OXFORDSHIRE,570,53203599.0,72225.0
1995-01-01,PEMBROKESHIRE,3,81950.0,29950.0
1995-01-01,POOLE,182,12718625.0,58250.0
1995-01-01,PORTSMOUTH,214,10845749.0,45625.0
1995-01-01,POWYS,79,4434639.0,44000.0
1995-01-01,READING,140,9542395.0,55000.0
1995-01-01,REDCAR AND CLEVELAND,1,4350.0,4350.0
1995-01-01,RHONDDA CYNON TAFF,2,68000.0,34000.0
1995-01-01,RUTLAND,37,2816950.0,68000.0
1995-01-01,SHROPSHIRE,369,21539260.0,49950.0
1995-01-01,SLOUGH,87,5093270.0,55000.0
1995-01-01,SOMERSET,506,31485077.0,51950.0
1995-01-01,SOUTH GLAMORGAN,89,6481115.0,49500.0
1995-01-01,SOUTH GLOUCESTERSHIRE,1,105000.0,105000.0
1995-01-01,SOUTH YORKSHIRE,953,41346580.0,38000.0
1995-01-01,SOUTHAMPTON,221,11448383.0,46000.0
1995-01-01,SOUTHEND-ON-SEA,250,13358839.0,45000.0
1995-01-01,STAFFORDSHIRE,704,39076125.0,46950.0
1995-01-01,STOCKTON-ON-TEES,134,6862893.0,45500.0
1995-01-01,STOKE-ON-TRENT,220,7828375.0,32000.0
1995-01-01,SUFFOLK,787,47509576.0,50000.0
1995-01-01,SURREY,1256,149497992.0,83600.0
