month,property_type,sales_volume,total_revenue,median_price
1995-01-01,D,11188,1196261938.0,87000.0
1995-01-01,F,7542,472410845.0,46500.0
1995-01-01,O,1,5610000.0,5610000.0
1995-01-01,S,15430,932761518.0,53000.0
1995-01-01,T,16309,842854068.0,42500.0
1995-02-01,D,11539,1173630558.0,85000.0
1995-02-01,F,7371,419633149.0,45500.0
1995-02-01,S,15505,928272035.0,53000.0
1995-02-01,T,16434,815613530.0,42000.0
1995-03-01,D,16184,1644458578.0,85000.0
1995-03-01,F,10093,585802710.0,45000.0
1995-03-01,S,21946,1297724380.0,52500.0
1995-03-01,T,23083,1160202701.0,42000.0
1995-04-01,D,14238,1491775091.0,87250.0
1995-04-01,F,8534,507363620.0,46000.0
1995-04-01,S,18449,1110310787.0,53000.0
1995-04-01,T,19076,977455974.0,43000.0
1995-05-01,D,15786,1624613174.0,86000.0
1995-05-01,F,9573,557433934.0,46000.0
1995-05-01,O,1,10000.0,10000.0
1995-05-01,S,20927,1265870904.0,53000.0
1995-05-01,T,21554,1099206066.0,43000.0
1995-06-01,D,18724,1941894883.0,86000.0
1995-06-01,F,10816,645855688.0,46500.0
1995-06-01,S,23594,1413347737.0,53000.0
1995-06-01,T,23801,1227394077.0,43000.0
1995-07-01,D,16520,1789910605.0,88995.0
1995-07-01,F,9266,553671370.0,47000.0
1995-07-01,S,21043,1306421148.0,54000.0
1995-07-01,T,21040,1120071495.0,44000.0
1995-08-01,D,18416,2007414665.0,88750.0
1995-08-01,F,9837,588257785.0,47500.0
1995-08-01,S,22456,1391742965.0,54000.0
1995-08-01,T,22570,1182647543.0,43750.0
1995-09-01,D,17525,1851773914.0,87000.0
1995-09-01,F,9626,559797441.0,46000.0
1995-09-01,S,21512,1302203754.0,53000.0
1995-09-01,T,22821,1168936168.0,43000.0
1995-10-01,D,16020,1679948336.0,85325.0
1995-10-01,F,8978,519129357.0,45750.0
1995-10-01,S,19517,1159294015.0,52500.0
1995-10-01,T,20518,1033626920.0,42000.0
1995-11-01,D,16496,1713631329.0,85950.0
1995-11-01,F,9316,538583426.0,45000.0
1995-11-01,S,20511,1216420577.0,52500.0
1995-11-01,T,21594,1082851643.0,42000.0
1995-12-01,D,19085,1961777078.0,86000.0
1995-12-01,F,9940,590502269.0,45500.0
1995-12-01,S,22079,1314446075.0,53000.0
1995-12-01,T,22393,1130229782.0,42500.0
1996-01-01,D,11878,1273309950.0,87000.0
1996-01-01,F,7502,456134836.0,46000.0
1996-01-01,S,15324,924513021.0,53000.0
1996-01-01,T,16761,857731108.0,42000.0
1996-02-01,D,12705,1297344565.0,85000.0
1996-02-01,F,7726,450699085.0,45000.0
1996-02-01,S,16293,974439356.0,52950.0
1996-02-01,T,17735,892626967.0,42000.0
1996-03-01,D,17342,1774892045.0,85000.0
1996-03-01,F,9930,588946428.0,45000.0
1996-03-01,S,22192,1307672279.0,52500.0
1996-03-01,T,23691,1173318880.0,42000.0
1996-04-01,D,16568,1776177999.0,87500.0
1996-04-01,F,9409,580294783.0,46000.0
1996-04-01,S,20729,1271963722.0,53500.0
1996-04-01,T,21530,1125058472.0,43000.0
1996-05-01,D,20959,2195011758.0,87000.0
1996-05-01,F,11270,702393354.0,47000.0
1996-05-01,S,25675,1569327876.0,54000.0
1996-05-01,T,25678,1336499765.0,43500.0
1996-06-01,D,20906,2223981319.0,88000.0
1996-06-01,F,10953,705154931.0,48000.0
1996-06-01,S,24186,1488171436.0,54000.0
1996-06-01,T,23915,1259122444.0,44000.0
1996-07-01,D,23279,2562121304.0,90000.0
1996-07-01,F,12143,791864719.0,49000.0
1996-07-01,S,27181,1739936997.0,55000.0
1996-07-01,T,27561,1550355175.0,45000.0
1996-08-01,D,25802,2903724690.0,92000.0
1996-08-01,F,12786,838215145.0,49000.0
1996-08-01,S,29134,1863670641.0,55250.0
1996-08-01,T,28722,1595976539.0,45500.0
1996-09-01,D,22100,2451683408.0,90000.0
1996-09-01,F,11719,792560287.0,50000.0
1996-09-01,S,25069,1593471662.0,55000.0
1996-09-01,T,25908,1411498962.0,45000.0
1996-10-01,D,23368,2597882257.0,90000.0
1996-10-01,F,12922,831543677.0,48000.0
1996-10-01,S,27463,1728370290.0,55000.0
1996-10-01,T,27768,1500336596.0,44500.0
1996-11-01,D,25288,2774903719.0,90000.0
1996-11-01,F,13974,905106462.0,48500.0
1996-11-01,S,29807,1873546867.0,55000.0
1996-11-01,T,30156,1653231191.0,45000.0
1996-12-01,D,24094,2633883427.0,91000.0
1996-12-01,F,13502,903123254.0,50495.0
1996-12-01,S,26707,1700698723.0,55500.0
1996-12-01,T,27385,1539599837.0,46000.0
1997-01-01,D,16945,1934789012.0,92000.0
1997-01-01,F,11032,751256440.0,49500.0
1997-01-01,S,20492,1330342794.0,55500.0
1997-01-01,T,22248,1259537437.0,45000.0
1997-02-01,D,17137,1906512038.0,92000.0
1997-02-01,F,11015,753940105.0,50000.0
1997-02-01,S,20662,1315712389.0,55750.0
1997-02-01,T,21536,1190838248.0,45000.0
1997-03-01,D,19542,2176458267.0,90000.0
1997-03-01,F,12259,845478745.0,50000.0
1997-03-01,O,1,200.0,200.0
1997-03-01,S,23948,1519167366.0,55000.0
1997-03-01,T,25622,1422387201.0,45950.0
1997-04-01,D,20438,2363260832.0,94500.0
1997-04-01,F,12866,908391366.0,51000.0
1997-04-01,S,24362,1626371302.0,57000.0
1997-04-01,T,25897,1502277795.0,47000.0
1997-05-01,D,24942,2857312864.0,94000.0
1997-05-01,F,14248,1009155556.0,52000.0
1997-05-01,S,28583,1907581979.0,57950.0
1997-05-01,T,29158,1705566536.0,47500.0
1997-06-01,D,26299,3074470679.0,95000.0
1997-06-01,F,15071,1125007229.0,53000.0
1997-06-01,O,4,12523950.0,3138475.0
1997-06-01,S,29348,1975063640.0,57950.0
1997-06-01,T,30250,1812120742.0,48000.0
1997-07-01,D,27746,3369350567.0,97500.0
1997-07-01,F,16457,1215261185.0,53800.0
1997-07-01,S,31569,2232988036.0,59000.0
1997-07-01,T,32968,2047515534.0,48500.0
1997-08-01,D,27146,3306870301.0,98500.0
1997-08-01,F,15769,1128784611.0,54000.0
1997-08-01,S,30509,2126779749.0,59000.0
1997-08-01,T,31283,1883087807.0,48500.0
1997-09-01,D,23743,2915674493.0,97850.0
1997-09-01,F,15034,1138886097.0,55000.0
1997-09-01,S,27243,1908141706.0,59000.0
1997-09-01,T,28949,1772412920.0,48000.0
1997-10-01,D,25215,3037102232.0,96500.0
1997-10-01,F,15948,1149447846.0,54500.0
1997-10-01,S,29590,2036620577.0,58412.5
1997-10-01,T,31048,1873718570.0,48000.0
1997-11-01,D,21122,2527919261.0,96950.0
1997-11-01,F,13673,999998444.0,55000.0
1997-11-01,S,25076,1728170757.0,58500.0
1997-11-01,T,26732,1630488864.0,48000.0
1997-12-01,D,23409,2812065105.0,98000.0
1997-12-01,F,14605,1109366860.0,56000.0
1997-12-01,S,26477,1861532443.0,59000.0
1997-12-01,T,28453,1747998530.0,48995.0
1998-01-01,D,14696,1852824271.0,99500.0
1998-01-01,F,10860,835478915.0,55997.5
1998-01-01,S,18410,1322267396.0,59000.0
1998-01-01,T,20733,1309831645.0,49000.0
1998-02-01,D,15465,1903873892.0,99500.0
1998-02-01,F,10965,829406901.0,55000.0
1998-02-01,S,18808,1308536043.0,58500.0
1998-02-01,T,21222,1293125163.0,48000.0
1998-03-01,D,19240,2412989113.0,98995.0
1998-03-01,F,12927,1022974411.0,56500.0
1998-03-01,S,23408,1648783277.0,58950.0
1998-03-01,T,26073,1636592963.0,48500.0
1998-04-01,D,20613,2618354087.0,101950.0
1998-04-01,F,13192,1050069392.0,58000.0
1998-04-01,S,24393,1763793735.0,59995.0
1998-04-01,T,26270,1694939001.0,50000.0
1998-05-01,D,22465,2829417054.0,103000.0
1998-05-01,F,14355,1141078818.0,58500.0
1998-05-01,S,26774,1944383267.0,59995.0
1998-05-01,T,28099,1796154920.0,50000.0
1998-06-01,D,24812,3163826143.0,103950.0
1998-06-01,F,15268,1254381847.0,59500.0
1998-06-01,S,27712,2034712744.0,60000.0
1998-06-01,T,29300,1913972146.0,51000.0
1998-07-01,D,27348,3634477463.0,106000.0
1998-07-01,F,16842,1361642854.0,59950.0
1998-07-01,O,1,170000.0,170000.0
1998-07-01,S,31736,2399893097.0,60000.0
1998-07-01,T,33702,2255943003.0,51750.0
1998-08-01,D,23836,3224184417.0,108500.0
1998-08-01,F,14736,1207880762.0,60000.0
1998-08-01,S,27379,2066208439.0,61745.0
1998-08-01,T,28289,1907151173.0,52000.0
1998-09-01,D,22331,2989734878.0,106950.0
1998-09-01,F,14916,1256051296.0,59995.0
1998-09-01,S,25900,1949256835.0,60000.0
1998-09-01,T,27058,1786572613.0,52000.0
1998-10-01,D,23013,2969708662.0,103000.0
1998-10-01,F,14982,1230327456.0,59000.0
1998-10-01,S,27222,1979873844.0,60000.0
1998-10-01,T,28591,1828585725.0,50500.0
1998-11-01,D,20965,2703434622.0,104000.0
1998-11-01,F,13858,1111444623.0,59950.0
1998-11-01,S,25311,1856669708.0,60000.0
1998-11-01,T,26549,1673938768.0,50500.0
1998-12-01,D,22177,2852121012.0,104000.0
1998-12-01,F,14371,1194236882.0,59995.0
1998-12-01,S,25482,1884526793.0,60000.0
1998-12-01,T,27084,1736148010.0,51000.0
1999-01-01,D,14424,1923103596.0,105000.0
1999-01-01,F,10574,881422634.0,59995.0
1999-01-01,S,18248,1370571172.0,61850.0
1999-01-01,T,20297,1345350721.0,51500.0
1999-02-01,D,15462,2042308194.0,105000.0
1999-02-01,F,10865,915779571.0,60000.0
1999-02-01,S,18836,1404150950.0,60000.0
1999-02-01,T,20735,1354625328.0,51500.0
1999-03-01,D,21196,2842927345.0,107500.0
1999-03-01,F,14289,1234484290.0,61500.0
1999-03-01,O,1,50000.0,50000.0
1999-03-01,S,25261,1908578267.0,61995.0
1999-03-01,T,28082,1881872532.0,52500.0
1999-04-01,D,23165,3109575339.0,109000.0
1999-04-01,F,14846,1295570932.0,63150.0
1999-04-01,S,27328,2119813035.0,63500.0
1999-04-01,T,28854,2015759680.0,54000.0
1999-05-01,D,23727,3217084862.0,110000.0
1999-05-01,F,14639,1282433902.0,65000.0
1999-05-01,S,27229,2121236684.0,64250.0
1999-05-01,T,28584,1989235654.0,54000.0
1999-06-01,D,27519,3882088829.0,114000.0
1999-06-01,F,16956,1574348792.0,67500.0
1999-06-01,S,30086,2435198895.0,65500.0
1999-06-01,T,31688,2335720786.0,56500.0
1999-07-01,D,32500,4741797127.0,116950.0
1999-07-01,F,20038,1880960211.0,67995.0
1999-07-01,O,1,151508.0,151508.0
1999-07-01,S,36264,3010965910.0,67000.0
1999-07-01,T,37408,2813372972.0,57000.0
1999-08-01,D,29726,4390928993.0,118500.0
1999-08-01,F,18033,1742809964.0,69500.0
1999-08-01,S,32476,2731806476.0,68000.0
1999-08-01,T,34103,2591042407.0,57950.0
1999-09-01,D,28367,4290608065.0,120000.0
1999-09-01,F,17698,1770810974.0,70475.0
1999-09-01,S,30218,2581423781.0,68000.0
1999-09-01,T,31918,2451708108.0,58000.0
1999-10-01,D,29056,4195536173.0,116000.0
1999-10-01,F,18316,1782924288.0,70050.0
1999-10-01,S,32153,2682984040.0,67500.0
1999-10-01,T,34129,2541407667.0,57427.0
1999-11-01,D,27835,4057762971.0,117500.0
1999-11-01,F,18040,1790705560.0,71500.0
1999-11-01,S,30981,2601532669.0,68000.0
1999-11-01,T,33184,2538483906.0,58000.0
1999-12-01,D,27388,4010033915.0,119950.0
1999-12-01,F,18619,1902700595.0,73000.0
1999-12-01,O,1,17000.0,17000.0
1999-12-01,S,29959,2518775989.0,68000.0
1999-12-01,T,32762,2511273127.0,58500.0
2000-01-01,D,16633,2572710872.0,120000.0
2000-01-01,F,12931,1362453860.0,74000.0
2000-01-01,S,19842,1735976433.0,69000.0
2000-01-01,T,22875,1809149320.0,58500.0
2000-02-01,D,17989,2702338983.0,120000.0
2000-02-01,F,14011,1434682193.0,75000.0
2000-02-01,S,21078,1792280783.0,68000.0
2000-02-01,T,23987,1857225034.0,58000.0
2000-03-01,D,24281,3748436984.0,120000.0
2000-03-01,F,17935,1928212809.0,75000.0
2000-03-01,O,1,135000.0,135000.0
2000-03-01,S,28619,2463693845.0,68500.0
2000-03-01,T,31910,2587316291.0,58950.0
2000-04-01,D,22329,3490913134.0,124950.0
2000-04-01,F,15873,1743096849.0,78500.0
2000-04-01,S,27080,2421971593.0,71000.0
2000-04-01,T,29254,2371436050.0,59950.0
2000-05-01,D,23635,3713779841.0,125000.0
2000-05-01,F,16652,1828611365.0,79950.0
2000-05-01,S,27502,2444691654.0,71500.0
2000-05-01,T,30362,2482313102.0,60000.0
2000-06-01,D,27898,4376430815.0,125500.0
2000-06-01,F,18625,2028841582.0,80000.0
2000-06-01,S,31440,2818135737.0,71000.0
2000-06-01,T,34368,2788177465.0,60000.0
2000-07-01,D,24171,4039684606.0,130000.0
2000-07-01,F,16588,1813752850.0,79950.0
2000-07-01,S,29288,2711415722.0,73500.0
2000-07-01,T,31605,2630605563.0,60000.0
2000-08-01,D,24963,4180870752.0,131000.0
2000-08-01,F,16248,1747400630.0,80000.0
2000-08-01,S,28279,2670421062.0,75000.0
2000-08-01,T,31279,2601753590.0,60000.0
2000-09-01,D,23207,3804356257.0,128500.0
2000-09-01,F,15105,1646832027.0,80000.0
2000-09-01,O,1,250000.0,250000.0
2000-09-01,S,26567,2409784987.0,72000.0
2000-09-01,T,29433,2354975031.0,59950.0
2000-10-01,D,21448,3567720265.0,129995.0
2000-10-01,F,14293,1569448509.0,79500.0
2000-10-01,O,1,3000.0,3000.0
2000-10-01,S,25222,2293341270.0,72500.0
2000-10-01,T,27856,2213732583.0,59950.0
2000-11-01,D,21469,3565774685.0,131500.0
2000-11-01,F,14658,1661061268.0,80000.0
2000-11-01,O,2,264375.0,132187.5
2000-11-01,S,24901,2293867554.0,73000.0
2000-11-01,T,27993,2277979338.0,60000.0
2000-12-01,D,24056,3927110376.0,130000.0
2000-12-01,F,15853,1800977949.0,83000.0
2000-12-01,S,26876,2478368103.0,74950.0
2000-12-01,T,30270,2490988564.0,61500.0
2001-01-01,D,14683,2559119621.0,135000.0
2001-01-01,F,12459,1427418775.0,83500.0
2001-01-01,O,1,1800000.0,1800000.0
2001-01-01,S,19160,1838010733.0,75950.0
2001-01-01,T,22769,1929105212.0,62500.0
2001-02-01,D,15739,2666612544.0,134000.0
2001-02-01,F,12311,1386143745.0,82950.0
2001-02-01,S,19615,1861999089.0,75500.0
2001-02-01,T,24015,1973743021.0,64000.0
2001-03-01,D,22111,3699492982.0,132000.0
2001-03-01,F,16063,1871471666.0,85000.0
2001-03-01,S,26796,2516852761.0,75000.0
2001-03-01,T,31336,2648234352.0,63995.0
2001-04-01,D,22756,3923368809.0,137500.0
2001-04-01,F,15220,1806106365.0,87000.0
2001-04-01,S,26544,2634561302.0,79950.0
2001-04-01,T,29683,2634735883.0,68000.0
2001-05-01,D,25322,4375880947.0,138000.0
2001-05-01,F,16995,2023156088.0,87500.0
2001-05-01,S,30115,3010558741.0,80000.0
2001-05-01,T,33210,2949328178.0,68950.0
2001-06-01,D,29971,5224223549.0,139950.0
2001-06-01,F,19859,2460854491.0,92000.0
2001-06-01,S,33974,3421076320.0,80000.0
2001-06-01,T,37088,3338867633.0,69950.0
2001-07-01,D,28847,5352352789.0,145000.0
2001-07-01,F,19154,2342940968.0,90500.0
2001-07-01,S,34597,3639836354.0,84000.0
2001-07-01,T,37930,3570072981.0,70000.0
2001-08-01,D,32669,6054704188.0,146995.0
2001-08-01,F,20884,2564031623.0,93000.0
2001-08-01,O,1,204.0,204.0
2001-08-01,S,37799,4015105641.0,85000.0
2001-08-01,T,41522,3900524908.0,72000.0
2001-09-01,D,25509,4719131278.0,147500.0
