month,property_type,is_new_build,sales_volume,median_price,total_revenue
1995-01-01,D,0,9059,86000.0,978011111.0
1995-01-01,D,1,2129,89995.0,218250827.0
1995-01-01,F,0,6383,45000.0,396224120.0
1995-01-01,F,1,1159,53000.0,76186725.0
1995-01-01,O,0,1,5610000.0,5610000.0
1995-01-01,S,0,14105,53000.0,855927735.0
1995-01-01,S,1,1325,53000.0,76833783.0
1995-01-01,T,0,15360,42000.0,788463349.0
1995-01-01,T,1,949,51000.0,54390719.0
1995-02-01,D,0,8898,83500.0,904403125.0
1995-02-01,D,1,2641,89950.0,269227433.0
1995-02-01,F,0,6108,44500.0,343199395.0
1995-02-01,F,1,1263,51000.0,76433754.0
1995-02-01,S,0,13945,52950.0,838311150.0
1995-02-01,S,1,1560,54950.0,89960885.0
1995-02-01,T,0,15243,40500.0,747468266.0
1995-02-01,T,1,1191,51500.0,68145264.0
1995-03-01,D,0,12077,83000.0,1226968229.0
1995-03-01,D,1,4107,90000.0,417490349.0
1995-03-01,F,0,8393,44250.0,478652140.0
1995-03-01,F,1,1700,51950.0,107150570.0
1995-03-01,S,0,19572,52250.0,1161144500.0
1995-03-01,S,1,2374,53750.0,136579880.0
1995-03-01,T,0,21337,41000.0,1060342486.0
1995-03-01,T,1,1746,51472.5,99860215.0
1995-04-01,D,0,10969,86000.0,1156807550.0
1995-04-01,D,1,3269,91000.0,334967541.0
1995-04-01,F,0,7017,45000.0,407260943.0
1995-04-01,F,1,1517,51500.0,100102677.0
1995-04-01,S,0,16657,53000.0,1007577449.0
1995-04-01,S,1,1792,53650.0,102733338.0
1995-04-01,T,0,17767,42000.0,901992551.0
1995-04-01,T,1,1309,50500.0,75463423.0
1995-05-01,D,0,11915,84500.0,1222447935.0
1995-05-01,D,1,3871,90000.0,402165239.0
1995-05-01,F,0,7843,45000.0,448952592.0
1995-05-01,F,1,1730,51995.0,108481342.0
1995-05-01,O,0,1,10000.0,10000.0
1995-05-01,S,0,18807,53000.0,1140913140.0
1995-05-01,S,1,2120,54525.0,124957764.0
1995-05-01,T,0,19977,42000.0,1007646958.0
1995-05-01,T,1,1577,51950.0,91559108.0
1995-06-01,D,0,13252,85000.0,1385106962.0
1995-06-01,D,1,5472,89950.0,556787921.0
1995-06-01,F,0,8602,45000.0,503782899.0
1995-06-01,F,1,2214,51995.0,142072789.0
1995-06-01,S,0,20722,52750.0,1245586453.0
1995-06-01,S,1,2872,54250.0,167761284.0
1995-06-01,T,0,21730,42000.0,1108419498.0
1995-06-01,T,1,2071,52000.0,118974579.0
1995-07-01,D,0,13243,87500.0,1443087220.0
1995-07-01,D,1,3277,91500.0,346823385.0
1995-07-01,F,0,7855,46000.0,464842168.0
1995-07-01,F,1,1411,53500.0,88829202.0
1995-07-01,S,0,19219,54000.0,1198989984.0
1995-07-01,S,1,1824,54000.0,107431164.0
1995-07-01,T,0,19655,43000.0,1036260101.0
1995-07-01,T,1,1385,52950.0,83811394.0
1995-08-01,D,0,14598,87625.0,1605917760.0
1995-08-01,D,1,3818,91000.0,401496905.0
1995-08-01,F,0,8284,46000.0,485163827.0
1995-08-01,F,1,1553,55000.0,103093958.0
1995-08-01,S,0,20518,54000.0,1279420563.0
1995-08-01,S,1,1938,53950.0,112322402.0
1995-08-01,T,0,21110,42750.0,1095131581.0
1995-08-01,T,1,1460,52997.5,87515962.0
1995-09-01,D,0,13421,85000.0,1431358836.0
1995-09-01,D,1,4104,89950.0,420415078.0
1995-09-01,F,0,8082,45000.0,467404824.0
1995-09-01,F,1,1544,50000.0,92392617.0
1995-09-01,S,0,19422,53000.0,1178723286.0
1995-09-01,S,1,2090,54500.0,123480468.0
1995-09-01,T,0,21194,42000.0,1072135499.0
1995-09-01,T,1,1627,52500.0,96800669.0
1995-10-01,D,0,12439,84950.0,1313003056.0
1995-10-01,D,1,3581,89000.0,366945280.0
1995-10-01,F,0,7533,44000.0,423593995.0
1995-10-01,F,1,1445,54500.0,95535362.0
1995-10-01,S,0,17781,52500.0,1056341515.0
1995-10-01,S,1,1736,54725.0,102952500.0
1995-10-01,T,0,19163,40500.0,950020278.0
1995-10-01,T,1,1355,52500.0,83606642.0
1995-11-01,D,0,12495,84000.0,1296029115.0
1995-11-01,D,1,4001,90140.0,417602214.0
1995-11-01,F,0,7764,43500.0,438558966.0
1995-11-01,F,1,1552,52000.0,100024460.0
1995-11-01,S,0,18576,52000.0,1101027679.0
1995-11-01,S,1,1935,54500.0,115392898.0
1995-11-01,T,0,20191,41000.0,997945175.0
1995-11-01,T,1,1403,53250.0,84906468.0
1995-12-01,D,0,13248,84500.0,1362930839.0
1995-12-01,D,1,5837,89950.0,598846239.0
1995-12-01,F,0,7969,44000.0,456809611.0
1995-12-01,F,1,1971,54950.0,133692658.0
1995-12-01,S,0,19316,52000.0,1144919810.0
1995-12-01,S,1,2763,55250.0,169526265.0
1995-12-01,T,0,20389,41000.0,1010078982.0
1995-12-01,T,1,2004,52675.0,120150800.0
1996-01-01,D,0,9718,85000.0,1038458163.0
1996-01-01,D,1,2160,92125.0,234851787.0
1996-01-01,F,0,6444,44975.0,379963671.0
1996-01-01,F,1,1058,56150.0,76171165.0
1996-01-01,S,0,14182,53000.0,855493768.0
1996-01-01,S,1,1142,54950.0,69019253.0
1996-01-01,T,0,15859,41250.0,799189358.0
1996-01-01,T,1,902,52500.0,58541750.0
1996-02-01,D,0,9883,82000.0,993833089.0
1996-02-01,D,1,2822,92500.0,303511476.0
1996-02-01,F,0,6456,43000.0,358518993.0
1996-02-01,F,1,1270,54995.0,92180092.0
1996-02-01,S,0,14920,52500.0,893033993.0
1996-02-01,S,1,1373,54500.0,81405363.0
1996-02-01,T,0,16545,41000.0,818133672.0
1996-02-01,T,1,1190,53000.0,74493295.0
1996-03-01,D,0,13095,83000.0,1329898745.0
1996-03-01,D,1,4247,89995.0,444993300.0
1996-03-01,F,0,8267,43000.0,471427631.0
1996-03-01,F,1,1663,55000.0,117518797.0
1996-03-01,S,0,20026,52000.0,1181596419.0
1996-03-01,S,1,2166,53950.0,126075860.0
1996-03-01,T,0,22027,41000.0,1069821414.0
1996-03-01,T,1,1664,54000.0,103497466.0
1996-04-01,D,0,13123,86000.0,1404714826.0
1996-04-01,D,1,3445,92500.0,371463173.0
1996-04-01,F,0,7999,44500.0,471983281.0
1996-04-01,F,1,1410,56995.0,108311502.0
1996-04-01,S,0,19057,53500.0,1170902454.0
1996-04-01,S,1,1672,54950.0,101061268.0
1996-04-01,T,0,20253,42000.0,1043868621.0
1996-04-01,T,1,1277,54995.0,81189851.0
1996-05-01,D,0,16049,85000.0,1670401923.0
1996-05-01,D,1,4910,93195.0,524609835.0
1996-05-01,F,0,9534,45000.0,574951019.0
1996-05-01,F,1,1736,57439.0,127442335.0
1996-05-01,S,0,23414,53500.0,1433795381.0
1996-05-01,S,1,2261,55450.0,135532495.0
1996-05-01,T,0,24066,42500.0,1231654863.0
1996-05-01,T,1,1612,55950.0,104844902.0
1996-06-01,D,0,15187,86000.0,1619605930.0
1996-06-01,D,1,5719,92500.0,604375389.0
1996-06-01,F,0,8920,45500.0,552293083.0
1996-06-01,F,1,2033,57950.0,152861848.0
1996-06-01,S,0,21463,53500.0,1320963038.0
1996-06-01,S,1,2723,56000.0,167208398.0
1996-06-01,T,0,21943,42500.0,1128968762.0
1996-06-01,T,1,1972,55995.0,130153682.0
1996-07-01,D,0,19199,89950.0,2120844678.0
1996-07-01,D,1,4080,92950.0,441276626.0
1996-07-01,F,0,10523,47500.0,668406913.0
1996-07-01,F,1,1620,58950.0,123457806.0
1996-07-01,S,0,25312,55000.0,1623810030.0
1996-07-01,S,1,1869,55750.0,116126967.0
1996-07-01,T,0,26120,44000.0,1453555838.0
1996-07-01,T,1,1441,58000.0,96799337.0
1996-08-01,D,0,20884,90000.0,2354204434.0
1996-08-01,D,1,4918,95972.5,549520256.0
1996-08-01,F,0,11063,47150.0,693485935.0
1996-08-01,F,1,1723,61512.0,144729210.0
1996-08-01,S,0,27115,55000.0,1737660781.0
1996-08-01,S,1,2019,56000.0,126009860.0
1996-08-01,T,0,27117,45000.0,1490153274.0
1996-08-01,T,1,1605,55500.0,105823265.0
1996-09-01,D,0,17522,90000.0,1961431474.0
1996-09-01,D,1,4578,92950.0,490251934.0
1996-09-01,F,0,10085,48000.0,651193164.0
1996-09-01,F,1,1634,62000.0,141367123.0
1996-09-01,S,0,23017,55000.0,1466705871.0
1996-09-01,S,1,2052,55950.0,126765791.0
1996-09-01,T,0,24356,44000.0,1308653208.0
1996-09-01,T,1,1552,57800.0,102845754.0
1996-10-01,D,0,18746,89000.0,2093271106.0
1996-10-01,D,1,4622,94500.0,504611151.0
