month,property_type,duration,sales_volume,median_price,total_revenue
1995-01-01,D,F,10769,87500.0,1158978656.0
1995-01-01,D,L,418,75625.0,37168782.0
1995-01-01,F,F,216,44750.0,24684845.0
1995-01-01,F,L,7325,46500.0,447683984.0
1995-01-01,O,F,1,5610000.0,5610000.0
1995-01-01,S,F,14201,53950.0,868578426.0
1995-01-01,S,L,1229,47950.0,64183092.0
1995-01-01,T,F,14828,43500.0,780739934.0
1995-01-01,T,L,1480,33700.0,62039634.0
1995-02-01,D,F,11082,85000.0,1137302395.0
1995-02-01,D,L,457,73530.0,36328163.0
1995-02-01,F,F,177,44000.0,10721715.0
1995-02-01,F,L,7194,45500.0,408911434.0
1995-02-01,S,F,14255,53500.0,863053189.0
1995-02-01,S,L,1250,48000.0,65218846.0
1995-02-01,T,F,14843,43000.0,750730874.0
1995-02-01,T,L,1590,33000.0,64856656.0
1995-03-01,D,F,15547,85250.0,1592788485.0
1995-03-01,D,L,637,74500.0,51670093.0
1995-03-01,F,F,275,43950.0,14553020.0
1995-03-01,F,L,9818,45495.0,571249690.0
1995-03-01,S,F,20119,53000.0,1205735012.0
1995-03-01,S,L,1827,48000.0,91989368.0
1995-03-01,T,F,20813,43000.0,1066438306.0
1995-03-01,T,L,2270,33850.0,93764395.0
1995-04-01,D,F,13747,87950.0,1450225161.0
1995-04-01,D,L,491,74995.0,41549930.0
1995-04-01,F,F,247,41000.0,14660289.0
1995-04-01,F,L,8286,46000.0,492639831.0
1995-04-01,S,F,16962,53979.5,1035917330.0
1995-04-01,S,L,1487,48250.0,74393457.0
1995-04-01,T,F,17392,44000.0,904058268.0
1995-04-01,T,L,1684,34500.0,73397706.0
1995-05-01,D,F,15220,86950.0,1577391796.0
1995-05-01,D,L,566,74725.0,47221378.0
1995-05-01,F,F,269,43000.0,16787120.0
1995-05-01,F,L,9304,46000.0,540646814.0
1995-05-01,O,L,1,10000.0,10000.0
1995-05-01,S,F,19226,54000.0,1176633384.0
1995-05-01,S,L,1701,48250.0,89237520.0
1995-05-01,T,F,19537,44000.0,1014390306.0
1995-05-01,T,L,2017,34500.0,84815760.0
1995-06-01,D,F,17963,87000.0,1875344496.0
1995-06-01,D,L,761,75000.0,66550387.0
1995-06-01,F,F,270,43990.0,15415605.0
1995-06-01,F,L,10546,46775.0,630440083.0
1995-06-01,S,F,21584,53725.0,1313178496.0
1995-06-01,S,L,2010,48000.0,100169241.0
1995-06-01,T,F,21527,44500.0,1131742004.0
1995-06-01,T,L,2274,33375.0,95652073.0
1995-07-01,D,F,15972,89850.0,1743372274.0
1995-07-01,D,L,548,74975.0,46538331.0
1995-07-01,F,F,234,46975.0,14626325.0
1995-07-01,F,L,9032,47000.0,539045045.0
1995-07-01,S,F,19488,54995.0,1225903376.0
1995-07-01,S,L,1555,48500.0,80517772.0
1995-07-01,T,F,19099,45000.0,1040424538.0
1995-07-01,T,L,1941,33995.0,79646957.0
1995-08-01,D,F,17802,89000.0,1952100845.0
1995-08-01,D,L,614,75000.0,55313820.0
1995-08-01,F,F,324,43000.0,18208249.0
1995-08-01,F,L,9513,47500.0,570049536.0
1995-08-01,S,F,20690,55000.0,1300221098.0
1995-08-01,S,L,1763,49000.0,91381152.0
1995-08-01,T,F,20547,45000.0,1096262017.0
1995-08-01,T,L,2023,34000.0,86385526.0
1995-09-01,D,F,16856,87500.0,1796956549.0
1995-09-01,D,L,668,75000.0,54740865.0
1995-09-01,F,F,263,41000.0,15370608.0
1995-09-01,F,L,9363,46000.0,544426833.0
1995-09-01,S,F,19767,53995.0,1210837911.0
1995-09-01,S,L,1745,49000.0,91365843.0
1995-09-01,T,F,20718,44000.0,1084417523.0
1995-09-01,T,L,2103,34000.0,84518645.0
1995-10-01,D,F,15466,86000.0,1632320458.0
1995-10-01,D,L,554,77500.0,47627878.0
1995-10-01,F,F,257,41000.0,14382736.0
1995-10-01,F,L,8721,45995.0,504746621.0
1995-10-01,S,F,17923,53000.0,1080048404.0
1995-10-01,S,L,1594,48000.0,79245611.0
1995-10-01,T,F,18590,43000.0,952705031.0
1995-10-01,T,L,1928,32500.0,80921889.0
1995-11-01,D,F,15852,86500.0,1657101582.0
1995-11-01,D,L,644,74500.0,56529747.0
1995-11-01,F,F,292,42500.0,17221762.0
1995-11-01,F,L,9024,45000.0,521361664.0
1995-11-01,S,F,18763,53000.0,1129221460.0
1995-11-01,S,L,1748,47000.0,87199117.0
1995-11-01,T,F,19529,43000.0,1001981564.0
1995-11-01,T,L,2065,33088.0,80870079.0
1995-12-01,D,F,18288,87000.0,1896340763.0
1995-12-01,D,L,797,75000.0,65436315.0
1995-12-01,F,F,267,42000.0,14015643.0
1995-12-01,F,L,9673,45950.0,576486626.0
1995-12-01,S,F,20176,53500.0,1219750905.0
1995-12-01,S,L,1902,47662.5,94607175.0
1995-12-01,T,F,20118,43500.0,1034741708.0
1995-12-01,T,L,2275,33500.0,95488074.0
1996-01-01,D,F,11446,87500.0,1235644300.0
1996-01-01,D,L,432,75000.0,37665650.0
1996-01-01,F,F,220,45000.0,14921844.0
1996-01-01,F,L,7282,46000.0,441212992.0
1996-01-01,S,F,14070,53500.0,861031917.0
1996-01-01,S,L,1254,47950.0,63481104.0
1996-01-01,T,F,15114,43500.0,789357726.0
1996-01-01,T,L,1647,33000.0,68373382.0
1996-02-01,D,F,12197,85000.0,1255160375.0
1996-02-01,D,L,507,75500.0,41999190.0
1996-02-01,F,F,247,41000.0,13741653.0
1996-02-01,F,L,7479,45000.0,436957432.0
1996-02-01,S,F,15018,53250.0,911005576.0
1996-02-01,S,L,1275,47500.0,63433780.0
1996-02-01,T,F,16060,43000.0,823708276.0
1996-02-01,T,L,1675,33000.0,68918691.0
1996-03-01,D,F,16609,85000.0,1711846291.0
1996-03-01,D,L,733,76950.0,63045754.0
1996-03-01,F,F,313,45000.0,19664701.0
1996-03-01,F,L,9617,45000.0,569281727.0
1996-03-01,S,F,20446,53000.0,1219970750.0
1996-03-01,S,L,1745,48000.0,87668529.0
1996-03-01,T,F,21491,43000.0,1091292467.0
1996-03-01,T,L,2200,32500.0,82026413.0
1996-04-01,D,F,15981,88000.0,1726907335.0
1996-04-01,D,L,587,76000.0,49270664.0
1996-04-01,F,F,298,41000.0,15820592.0
1996-04-01,F,L,9110,46000.0,564404191.0
1996-04-01,S,F,19036,54000.0,1183290805.0
1996-04-01,S,L,1693,48000.0,88672917.0
1996-04-01,T,F,19550,44000.0,1041009085.0
1996-04-01,T,L,1979,33700.0,84018387.0
1996-05-01,D,F,20186,87608.0,2129094709.0
1996-05-01,D,L,773,76000.0,65917049.0
1996-05-01,F,F,335,40000.0,21713385.0
1996-05-01,F,L,10935,47000.0,680679969.0
