month,sales_volume,total_revenue,median_price,sales_volume_prev_year,total_revenue_prev_year,median_price_prev_year,yoy_sales_volume,yoy_total_revenue,yoy_median_price
1995-01-01,50470,3449898369.0,54000.0,,,,,,
1995-02-01,50849,3337149272.0,53000.0,,,,,,
1995-03-01,71306,4688188369.0,53000.0,,,,,,
1995-04-01,60297,4086905472.0,54500.0,,,,,,
1995-05-01,67841,4547134078.0,54500.0,,,,,,
1995-06-01,76935,5228492385.0,55000.0,,,,,,
1995-07-01,67869,4770074618.0,56000.0,,,,,,
1995-08-01,73279,5170062958.0,56000.0,,,,,,
1995-09-01,71484,4882711277.0,55000.0,,,,,,
1995-10-01,65033,4391998628.0,54000.0,,,,,,
1995-11-01,67917,4551486975.0,54000.0,,,,,,
1995-12-01,73497,4996955204.0,55000.0,,,,,,
1996-01-01,51465,3511688915.0,54000.0,50470,3449898369.0,54000.0,0.019714681989300573,0.0179108308103322,0.0
1996-02-01,54459,3615109973.0,53250.0,50849,3337149272.0,53000.0,0.07099451316643395,0.08329285816855722,0.0047169811320754715
1996-03-01,73155,4844829632.0,53500.0,71306,4688188369.0,53000.0,0.025930496732392786,0.03341189616777534,0.009433962264150943
1996-04-01,68236,4753494976.0,55000.0,60297,4086905472.0,54500.0,0.1316649252864985,0.16310372446020693,0.009174311926605505
1996-05-01,83582,5803232753.0,56000.0,67841,4547134078.0,54500.0,0.23202782977845257,0.2762396387380069,0.027522935779816515
1996-06-01,79960,5676430130.0,57000.0,76935,5228492385.0,55000.0,0.03931890556963671,0.08567244857907544,0.03636363636363636
1996-07-01,90164,6644278195.0,58000.0,67869,4770074618.0,56000.0,0.3285004935979608,0.3929086496734546,0.03571428571428571
1996-08-01,96444,7201587015.0,59000.0,73279,5170062958.0,56000.0,0.3161205802480929,0.3929399068257923,0.05357142857142857
1996-09-01,84796,6249214319.0,58000.0,71484,4882711277.0,55000.0,0.18622349057131665,0.2798656247476498,0.05454545454545454
1996-10-01,91521,6658132820.0,57500.0,65033,4391998628.0,54000.0,0.407300908769394,0.515968784132325,0.06481481481481481
1996-11-01,99225,7206788239.0,57995.0,67917,4551486975.0,54000.0,0.4609744246654004,0.5833920383788421,0.07398148148148148
1996-12-01,91688,6777305241.0,59000.0,73497,4996955204.0,55000.0,0.24750670095378044,0.35628697162921374,0.07272727272727272
1997-01-01,70717,5275925683.0,58000.0,51465,3511688915.0,54000.0,0.37407947148547555,0.5023898217362457,0.07407407407407407
1997-02-01,70350,5167002780.0,58000.0,54459,3615109973.0,53250.0,0.291797499035972,0.4292795568020193,0.0892018779342723
