county,sales,rnk,share,cum_share
GREATER LONDON,2993422,1,0.13310399216553542,0.13310399216553542
GREATER MANCHESTER,985772,2,0.04383284032956402,0.17693683249509945
WEST MIDLANDS,856803,3,0.03809816985356801,0.21503500234866746
WEST YORKSHIRE,849862,4,0.03778953485000988,0.25282453719867737
KENT,636515,5,0.028302954803313997,0.28112749200199133
ESSEX,629488,6,0.02799049576715163,0.30911798776914295
HAMPSHIRE,593974,7,0.026411348163583932,0.3355293359327269
SURREY,516199,8,0.022953044258997638,0.35848238019172457
LANCASHIRE,503502,9,0.022388465863928113,0.38087084605565263
HERTFORDSHIRE,488383,10,0.02171619203900442,0.40258703809465707
MERSEYSIDE,458459,11,0.020385606554712034,0.4229726446493691
SOUTH YORKSHIRE,453594,12,0.020169281919600338,0.44314192656896945
WEST SUSSEX,394576,13,0.017545017312195977,0.46068694388116543
TYNE AND WEAR,389735,14,0.017329759848973836,0.47801670373013927
NORFOLK,385093,15,0.01712335101933591,0.4951400547494752
DEVON,365307,16,0.01624355672738934,0.5113836114768645
NORTHAMPTONSHIRE,337420,17,0.01500354745722286,0.5263871589340874
NOTTINGHAMSHIRE,330469,18,0.01469446779871075,0.5410816267327981
LINCOLNSHIRE,328872,19,0.014623456402560003,0.5557050831353582
SUFFOLK,322884,20,0.014357197016116253,0.5700622801514744
DERBYSHIRE,309952,21,0.013782169229628178,0.5838444493811026
STAFFORDSHIRE,309176,22,0.013747664005199261,0.5975921133863018
EAST SUSSEX,285342,23,0.012687873387881231,0.610279986774183
LEICESTERSHIRE,278408,24,0.01237954964279089,0.6226595364169739
CAMBRIDGESHIRE,278254,25,0.012372701956499584,0.6350322383734736
OXFORDSHIRE,270066,26,0.012008618480180039,0.6470408568536535
GLOUCESTERSHIRE,268891,27,0.011956371523087286,0.6589972283767408
NORTH YORKSHIRE,255070,28,0.011341813911190312,0.6703390422879312
SOMERSET,241207,29,0.010725388748486617,0.6810644310364178
CORNWALL,239192,30,0.01063579077525947,0.6917002218116772
WORCESTERSHIRE,233433,31,0.01037971398726188,0.7020799357989391
WARWICKSHIRE,232739,32,0.010348854933455607,0.7124287907323947
BUCKINGHAMSHIRE,221272,33,0.009838969097725732,0.7222677598301205
CUMBRIA,204611,34,0.009098129478898188,0.7313658893090187
WILTSHIRE,203997,35,0.009070827664723762,0.7404367169737424
DORSET,202503,36,0.009004396214599019,0.7494411131883414
CHESHIRE,201193,37,0.008946146415627522,0.7583872596039689
CITY OF BRISTOL,174853,38,0.007774925266841885,0.7661621848708109
EAST RIDING OF YORKSHIRE,145974,39,0.006490806225240501,0.7726529910960513
DURHAM,134700,40,0.0059895022301224565,0.7786424933261737
CARDIFF,134115,41,0.005963489915314575,0.7846059832414883
BRIGHTON AND HOVE,129872,42,0.005774822818340487,0.7903808060598289
BEDFORDSHIRE,129687,43,0.005766596701691841,0.7961474027615207
SHROPSHIRE,124257,44,0.005525149061680223,0.801672551823201
NORTHUMBERLAND,122040,45,0.0054265690583826616,0.8070991208815835
MILTON KEYNES,121296,46,0.005393486729806485,0.8124926076113901
SOUTH GLOUCESTERSHIRE,111146,47,0.004942161951515891,0.817434769562906
BOURNEMOUTH,103944,48,0.004621921453658861,0.8220566910165649
NORTH SOMERSET,98424,49,0.004376471919061415,0.8264331629356262
MEDWAY,97025,50,0.00431426469099949,0.8307474276266257
SOUTHAMPTON,96455,51,0.00428891935862258,0.8350363469852483
LEICESTER,94389,52,0.00419705364513013,0.8392334006303784
CITY OF PLYMOUTH,93668,53,0.004164994022948109,0.8433983946533266
STOKE-ON-TRENT,93611,54,0.0041624594897104175,0.847560854143037
SWINDON,93092,55,0.00413938189759881,0.8517002360406357
CITY OF KINGSTON UPON HULL,90482,56,0.0040233269546098,0.8557235629952455
PORTSMOUTH,90377,57,0.004018658077593001,0.8597422210728386
SOUTHEND-ON-SEA,87798,58,0.003903981564961332,0.8636462026377999
CITY OF DERBY,87152,59,0.003875256854934167,0.8675214594927341
CITY OF NOTTINGHAM,86361,60,0.0038400846480742793,0.8713615441408084
YORK,83893,61,0.003730343805431798,0.8750918879462402
SWANSEA,83490,62,0.0037124242107863686,0.8788043121570265
WARRINGTON,80074,63,0.0035605300785065,0.882364842235533
LUTON,77774,64,0.0034582594390908977,0.885823101674624
RHONDDA CYNON TAFF,77301,65,0.003437227259767602,0.8892603289343916
POOLE,76862,66,0.003417706907287841,0.8926780358416794
STOCKTON-ON-TEES,75493,67,0.003356833644087859,0.8960348694857673
