district,county,sales,rnk,share,cum_share
BIRMINGHAM,WEST MIDLANDS,332091,1,0.014766590832246448,0.014766590832246448
LEEDS,WEST YORKSHIRE,299133,2,0.013301097034916264,0.02806768786716271
BRADFORD,WEST YORKSHIRE,198163,3,0.008811415964571316,0.036879103831734025
MANCHESTER,GREATER MANCHESTER,181363,4,0.008064395641883437,0.04494349947361746
SHEFFIELD,SOUTH YORKSHIRE,181222,5,0.008058126007032308,0.053001625480649774
CITY OF BRISTOL,CITY OF BRISTOL,174853,6,0.007774925266841885,0.06077655074749166
WANDSWORTH,GREATER LONDON,156602,7,0.00696338551033138,0.06773993625782304
KIRKLEES,WEST YORKSHIRE,151424,8,0.0067331431751600805,0.07447307943298312
LIVERPOOL,MERSEYSIDE,150032,9,0.006671247205565942,0.08114432663854906
EAST RIDING OF YORKSHIRE,EAST RIDING OF YORKSHIRE,145974,10,0.006490806225240501,0.08763513286378956
BROMLEY,GREATER LONDON,139391,11,0.006198089869034887,0.09383322273282445
CROYDON,GREATER LONDON,138675,12,0.006166252574329856,0.0999994753071543
CARDIFF,CARDIFF,134115,13,0.005963489915314575,0.10596296522246888
BRIGHTON AND HOVE,BRIGHTON AND HOVE,129872,14,0.005774822818340487,0.11173778804080936
BARNET,GREATER LONDON,127957,15,0.005689671394653149,0.11742745943546251
MILTON KEYNES,MILTON KEYNES,121296,16,0.005393486729806485,0.122820946165269
WIRRAL,MERSEYSIDE,118954,17,0.005289348539584162,0.12811029470485316
WAKEFIELD,WEST YORKSHIRE,115435,18,0.005132874461278291,0.13324316916613144
STOCKPORT,GREATER MANCHESTER,114488,19,0.005090765637136301,0.13833393480326775
COVENTRY,WEST MIDLANDS,114432,20,0.005088275569394008,0.14342221037266176
WIGAN,GREATER MANCHESTER,113221,21,0.005034427854466924,0.14845663822712868
LAMBETH,GREATER LONDON,112217,22,0.0049897844970872435,0.15344642272421594
ENFIELD,GREATER LONDON,111389,23,0.004952967066897626,0.15839938979111357
