month_of_year,avg_price,median_price,sales_volume
1,180687.03517162215,128000.0,1440053
2,175094.68931674236,127000.0,1485867
3,177880.64403115804,126500.0,1871234
4,174381.40856941728,127000.0,1751531
5,172503.3306079427,127500.0,1924984
6,175977.98445855355,130750.0,2046592
7,179731.24913414457,131500.0,2110052
8,180924.71527099278,134950.0,2098174
9,182161.8258381993,133500.0,1911240
10,178577.47089251125,132000.0,1970541
11,178291.22395550078,130995.0,1928843
12,181987.6034051246,135000.0,1950237
