year,sales_volume,total_revenue,avg_price,median_price
1995,796777,54101057605.0,67899.87362210505,54950.0
1996,964695,68942092208.0,71465.1700361254,57000.0
1997,1093669,85845707207.0,78493.31672288416,60000.0
1998,1049739,89641950079.0,85394.51242546957,65000.0
1999,1194064,114615816386.0,95988.00096644736,72950.0
2000,1128742,121255752510.0,107425.56980248808,80000.0
2001,1245112,147962845667.0,118834.96879557823,90000.0
2002,1351256,186310196271.0,137879.27400211358,110000.0
2003,1257140,195726591967.0,155691.9610918434,130000.0
2004,1270409,226561253493.0,178337.25476834626,150000.0
2005,1061686,200926384257.0,189252.1746137747,157500.0
2006,1326161,269762896054.0,203416.39970863267,166000.0
2007,1272921,279068524232.0,219234.7555205704,175000.0
2008,650492,141038233185.0,216817.78282438524,170000.0
2009,625662,133437637021.0,213274.31907483592,168375.0
2010,663342,156528159327.0,235969.01647566413,182000.0
2011,661055,153761198707.0,232599.70608648297,176000.0
2012,668295,159248771239.0,238291.1307715904,180000.0
2013,810111,208078937016.0,256852.37827408838,184995.0
2014,982943,274346743691.0,279107.47997696715,190000.0
2015,1007421,298237838812.0,296040.9191509806,205000.0
2016,1032558,319854630502.0,309769.1659955179,215000.0
2017,375098,123342897189.0,328828.45866680174,215000.0
